2020-07-17 09:12:49.1019 ERROR eventId:UnhandledException,An unhandled exception has occurred while executing the request.
2020-07-17 09:12:54.3650 ERROR eventId:UnhandledException,An unhandled exception has occurred while executing the request.
2020-07-17 09:18:36.8225 ERROR eventId:UnhandledException,An unhandled exception has occurred while executing the request.
2020-07-17 12:12:25.1348 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:12:26.1403 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:12:28.1105 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:12:28.9428 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:13:54.0383 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:14:00.0407 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:47:56.3280 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:24.4436 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:40.7818 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:41.5308 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:42.0209 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:42.4750 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:50.5767 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:51.1066 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:51.5452 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:53.7258 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:55.3240 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:56.4656 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:57.0520 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:57.4777 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:48:57.9167 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:49:00.3143 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:49:06.2160 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:49:09.8927 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:49:14.7933 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:58:28.2358 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:58:30.5130 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 12:58:36.1172 ERROR An exception was thrown while activating Castle.Proxies.AuthorizationControllerProxy -> Hzdtf.Authorization.Web.Core.IdentityCookieAuth`1[[Hzdtf.Utility.Standard.Model.BasicUserInfo, Hzdtf.Utility.Standard, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]].
2020-07-17 13:24:15.9308 ERROR eventId:UnhandledException,An unhandled exception has occurred while executing the request.
2020-07-17 13:26:56.5828 ERROR eventId:UnhandledException,An unhandled exception has occurred while executing the request.
